Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NIV_EDUCA_esta,SEXE
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,326,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,156,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,227,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,217,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,239,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,..,6,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,..,6,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,7,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,361,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,542,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,332,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,532,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,219,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,294,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,239,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,281,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,6,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,6,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,7,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,6,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,208,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,244,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,247,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,324,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,208,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,246,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,268,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,275,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,..,6,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,..,6,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,8,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,9,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,219,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,326,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,274,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,411,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,217,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,242,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,265,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,296,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,..,6,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,..,6,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,8,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,..,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,296,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,410,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,352,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,508,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,297,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,352,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,347,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,339,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,..,6,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,..,6,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,..,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,6,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,168,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,205,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,229,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,264,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,174,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,220,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,272,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,271,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,..,6,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,10,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,..,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,124,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,134,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,185,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,192,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,146,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,159,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,193,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,159,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,..,6,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,15,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,..,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,167,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,215,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,224,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,302,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,175,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,183,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,199,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,222,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,..,6,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,..,6,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,6,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,..,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,200,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,232,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,310,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,344,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,259,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,255,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,314,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,269,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,..,6,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,..,6,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,9,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,5,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,227,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,189,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,240,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,263,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,209,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,207,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,300,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,258,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,..,6,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,..,6,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,12,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,..,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,255,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,284,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,342,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,408,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,253,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,265,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,293,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,286,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,..,6,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,..,6,2
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,14,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,..,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,155,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,162,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,183,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,234,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,180,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,164,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,191,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,210,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,..,6,1
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,..,6,2
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,9,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,6,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,239,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,316,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,308,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,427,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,250,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,324,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,384,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,425,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,..,6,1
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,..,6,2
